Integration Time (micros): 98000         
Min saturation: -188.99394239295856         
Max saturation: 916.0969101751331         
Wavelength (nm), Intensity (Counts)
3.455438199999999824e+02,3.241152967702263595e+03
3.457616601040544992e+02,3.191259553160961786e+03
3.459794862952958852e+02,3.275694562384703204e+03
3.461972985723411966e+02,3.243071945184621200e+03
3.464150969338072628e+02,3.166312845890310655e+03
3.466328813783110832e+02,3.386995256361453357e+03
3.468506519044696006e+02,3.392752188808526626e+03
3.470684085108997579e+02,3.385076278879095753e+03
3.472861511962183840e+02,3.425374806008608630e+03
3.475038799590425356e+02,3.306398202102427604e+03
3.477215947979892121e+02,3.429212760973324293e+03
3.479392957116751290e+02,3.350534684196656144e+03
3.481569826987173428e+02,3.339020819302509608e+03
3.483746557577327962e+02,3.406185031185031221e+03
3.485923148873383752e+02,3.427293783490966689e+03
3.488099600861510794e+02,3.365886504055518344e+03
3.490275913527877378e+02,3.410022986149746885e+03
3.492452086858654070e+02,3.392752188808526626e+03
3.494628120840009728e+02,3.400428098737957953e+03
3.496804015458113781e+02,3.398509121255600348e+03
3.498979770699135656e+02,3.371643436502591612e+03
3.501155386549244781e+02,3.294884337208281067e+03
3.503330862994610015e+02,3.362048549090802680e+03
3.505506200021400787e+02,3.346696729231940481e+03
3.507681397615786523e+02,3.454159468243975425e+03
3.509856455763937220e+02,3.406185031185031221e+03
3.512031374452021169e+02,3.363967526573160285e+03
3.514206153666208365e+02,3.411941963632104489e+03
3.516380793392669375e+02,3.450321513279259761e+03
3.518555293617570783e+02,3.404266053702673616e+03
3.520729654327083722e+02,3.315993089514216081e+03
3.522903875507377620e+02,3.406185031185031221e+03
3.525077957144621337e+02,3.383157301396738148e+03
3.527251899224983731e+02,3.436888670902755621e+03
3.529425701734634799e+02,3.329425931890720676e+03
3.531599364659744538e+02,3.292965359725923008e+03
3.533772887986481237e+02,3.561622207256009915e+03
3.535946271701014325e+02,3.373562413984949217e+03
3.538119515789513798e+02,3.373562413984949217e+03
3.540292620238148515e+02,3.419617873561535362e+03
3.542465585033087905e+02,3.442645603349828889e+03
3.544638410160500825e+02,3.396590143773242289e+03
3.546811095606557842e+02,3.371643436502591612e+03
3.548983641357427814e+02,3.410022986149746885e+03
3.551156047399280169e+02,3.475268220549910893e+03
3.553328313718282629e+02,3.402347076220315557e+03
3.555500440300607465e+02,3.394671166290884685e+03
3.557672427132422399e+02,3.337101841820151549e+03
